soil_property,description,export_name,model_name,spectra_type,subset,geo
mg.ext_usda.a724_cmolc.kg,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log..mg.ext_usda.a724_cmolc.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
mg.ext_usda.a724_cmolc.kg,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log..mg.ext_usda.a724_cmolc.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
mg.ext_usda.a724_cmolc.kg,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log..mg.ext_usda.a724_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
mg.ext_usda.a724_cmolc.kg,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log..mg.ext_usda.a724_cmolc.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
mg.ext_usda.a724_cmolc.kg,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log..mg.ext_usda.a724_cmolc.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
mn.ext_usda.a1067_mg.kg,"Manganese, Extractable, Mehlich3",log..mn.ext_usda.a1067_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
mn.ext_usda.a1067_mg.kg,"Manganese, Extractable, Mehlich3",log..mn.ext_usda.a1067_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
mn.ext_usda.a1067_mg.kg,"Manganese, Extractable, Mehlich3",log..mn.ext_usda.a1067_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
mn.ext_usda.a1067_mg.kg,"Manganese, Extractable, Mehlich3",log..mn.ext_usda.a1067_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
mn.ext_usda.a1067_mg.kg,"Manganese, Extractable, Mehlich3",log..mn.ext_usda.a1067_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
mn.ext_usda.a70_mg.kg,"Manganese, Extractable, KCl",log..mn.ext_usda.a70_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
mn.ext_usda.a70_mg.kg,"Manganese, Extractable, KCl",log..mn.ext_usda.a70_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
mn.ext_usda.a70_mg.kg,"Manganese, Extractable, KCl",log..mn.ext_usda.a70_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
mn.ext_usda.a70_mg.kg,"Manganese, Extractable, KCl",log..mn.ext_usda.a70_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
mn.ext_usda.a70_mg.kg,"Manganese, Extractable, KCl",log..mn.ext_usda.a70_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
n.tot_usda.a623_w.pct,"Nitrogen, Total NCS",log..n.tot_usda.a623_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
n.tot_usda.a623_w.pct,"Nitrogen, Total NCS",log..n.tot_usda.a623_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
n.tot_usda.a623_w.pct,"Nitrogen, Total NCS",log..n.tot_usda.a623_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
n.tot_usda.a623_w.pct,"Nitrogen, Total NCS",log..n.tot_usda.a623_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
n.tot_usda.a623_w.pct,"Nitrogen, Total NCS",log..n.tot_usda.a623_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
na.ext_usda.a1068_mg.kg,"Sodium, Extractable, Mehlich3",log..na.ext_usda.a1068_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
na.ext_usda.a1068_mg.kg,"Sodium, Extractable, Mehlich3",log..na.ext_usda.a1068_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
na.ext_usda.a1068_mg.kg,"Sodium, Extractable, Mehlich3",log..na.ext_usda.a1068_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
na.ext_usda.a1068_mg.kg,"Sodium, Extractable, Mehlich3",log..na.ext_usda.a1068_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
na.ext_usda.a1068_mg.kg,"Sodium, Extractable, Mehlich3",log..na.ext_usda.a1068_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
na.ext_usda.a726_cmolc.kg,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log..na.ext_usda.a726_cmolc.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
na.ext_usda.a726_cmolc.kg,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log..na.ext_usda.a726_cmolc.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
na.ext_usda.a726_cmolc.kg,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log..na.ext_usda.a726_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
na.ext_usda.a726_cmolc.kg,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log..na.ext_usda.a726_cmolc.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
na.ext_usda.a726_cmolc.kg,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log..na.ext_usda.a726_cmolc.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",log..oc_usda.c729_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",log..oc_usda.c729_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",log..oc_usda.c729_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",log..oc_usda.c729_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",log..oc_usda.c729_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
p.ext_usda.a1070_mg.kg,"Phosphorus, Extractable, Mehlich3",log..p.ext_usda.a1070_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
p.ext_usda.a1070_mg.kg,"Phosphorus, Extractable, Mehlich3",log..p.ext_usda.a1070_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
