soil_property,description,export_name,model_name,spectra_type,subset,geo,count
n.tot_usda.a623_w.pct,"Nitrogen, Total NCS",log..n.tot_usda.a623_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,81282
n.tot_usda.a623_w.pct,"Nitrogen, Total NCS",log..n.tot_usda.a623_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
n.tot_usda.a623_w.pct,"Nitrogen, Total NCS",log..n.tot_usda.a623_w.pct,visnir_mlr3..eml_kssl_na_v1.2,visnir,kssl,na,19806
n.tot_usda.a623_w.pct,"Nitrogen, Total NCS",log..n.tot_usda.a623_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,60570
na.ext_usda.a1068_mg.kg,"Sodium, Extractable, Mehlich3",log..na.ext_usda.a1068_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
na.ext_usda.a1068_mg.kg,"Sodium, Extractable, Mehlich3",log..na.ext_usda.a1068_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3616
na.ext_usda.a726_cmolc.kg,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log..na.ext_usda.a726_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,53230
na.ext_usda.a726_cmolc.kg,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log..na.ext_usda.a726_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,57075
na.ext_usda.a726_cmolc.kg,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log..na.ext_usda.a726_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
na.ext_usda.a726_cmolc.kg,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log..na.ext_usda.a726_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,3715
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",log..oc_usda.c729_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,75929
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",log..oc_usda.c729_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,82573
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",log..oc_usda.c729_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1974
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",log..oc_usda.c729_w.pct,visnir_mlr3..eml_kssl_na_v1.2,visnir,kssl,na,19747
oc_usda.c729_w.pct,"Organic Carbon, Total C without CaCO3, S prep",log..oc_usda.c729_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,64211
p.ext_usda.a1070_mg.kg,"Phosphorus, Extractable, Mehlich3",log..p.ext_usda.a1070_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,25602
p.ext_usda.a1070_mg.kg,"Phosphorus, Extractable, Mehlich3",log..p.ext_usda.a1070_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,27690
p.ext_usda.a1070_mg.kg,"Phosphorus, Extractable, Mehlich3",log..p.ext_usda.a1070_mg.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,754
p.ext_usda.a270_mg.kg,"Phosphorus, Extractable, Bray1",log..p.ext_usda.a270_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,7146
p.ext_usda.a270_mg.kg,"Phosphorus, Extractable, Bray1",log..p.ext_usda.a270_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,7282
p.ext_usda.a274_mg.kg,"Phosphorus, Extractable, Olsen",log..p.ext_usda.a274_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,15359
p.ext_usda.a274_mg.kg,"Phosphorus, Extractable, Olsen",log..p.ext_usda.a274_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,16084
p.ext_usda.a274_mg.kg,"Phosphorus, Extractable, Olsen",log..p.ext_usda.a274_mg.kg,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,40764
ph.cacl2_usda.a481_index,"pH, 1:2 Soil-CaCl2 Suspension",ph.cacl2_usda.a481_index,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,52946
ph.cacl2_usda.a481_index,"pH, 1:2 Soil-CaCl2 Suspension",ph.cacl2_usda.a481_index,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,53819
ph.cacl2_usda.a481_index,"pH, 1:2 Soil-CaCl2 Suspension",ph.cacl2_usda.a481_index,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
ph.cacl2_usda.a481_index,"pH, 1:2 Soil-CaCl2 Suspension",ph.cacl2_usda.a481_index,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,40848
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,52867
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,59997
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
ph.h2o_usda.a268_index,"pH, 1:1 Soil-Water Suspension",ph.h2o_usda.a268_index,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,44590
s.tot_usda.a624_w.pct,"Sulfur, Total NCS",log..s.tot_usda.a624_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,76592
s.tot_usda.a624_w.pct,"Sulfur, Total NCS",log..s.tot_usda.a624_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,76592
s.tot_usda.a624_w.pct,"Sulfur, Total NCS",log..s.tot_usda.a624_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
s.tot_usda.a624_w.pct,"Sulfur, Total NCS",log..s.tot_usda.a624_w.pct,visnir_mlr3..eml_kssl_na_v1.2,visnir,kssl,na,19807
s.tot_usda.a624_w.pct,"Sulfur, Total NCS",log..s.tot_usda.a624_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,19807
sand.tot_usda.c60_w.pct,"Sand, Total, S prep",sand.tot_usda.c60_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,50012
sand.tot_usda.c60_w.pct,"Sand, Total, S prep",sand.tot_usda.c60_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,57162
sand.tot_usda.c60_w.pct,"Sand, Total, S prep",sand.tot_usda.c60_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
sand.tot_usda.c60_w.pct,"Sand, Total, S prep",sand.tot_usda.c60_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,27086
silt.tot_usda.c62_w.pct,"Silt, Total, S prep",silt.tot_usda.c62_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,50013
silt.tot_usda.c62_w.pct,"Silt, Total, S prep",silt.tot_usda.c62_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,57215
silt.tot_usda.c62_w.pct,"Silt, Total, S prep",silt.tot_usda.c62_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
silt.tot_usda.c62_w.pct,"Silt, Total, S prep",silt.tot_usda.c62_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,27139
wr.1500kPa_usda.a417_w.pct,"Water Retention, 15 Bar (1500 kPa)",log..wr.1500kPa_usda.a417_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,40284
wr.1500kPa_usda.a417_w.pct,"Water Retention, 15 Bar (1500 kPa)",log..wr.1500kPa_usda.a417_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,41345
wr.1500kPa_usda.a417_w.pct,"Water Retention, 15 Bar (1500 kPa)",log..wr.1500kPa_usda.a417_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1951
wr.1500kPa_usda.a417_w.pct,"Water Retention, 15 Bar (1500 kPa)",log..wr.1500kPa_usda.a417_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,971
wr.33kPa_usda.a415_w.pct,"Water Retention, 1/3 Bar (33 kPa)",log..wr.33kPa_usda.a415_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,18536
wr.33kPa_usda.a415_w.pct,"Water Retention, 1/3 Bar (33 kPa)",log..wr.33kPa_usda.a415_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,19459
wr.33kPa_usda.a415_w.pct,"Water Retention, 1/3 Bar (33 kPa)",log..wr.33kPa_usda.a415_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1032
wr.33kPa_usda.a415_w.pct,"Water Retention, 1/3 Bar (33 kPa)",log..wr.33kPa_usda.a415_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,923
zn.ext_usda.a1073_mg.kg,"Zinc, Extractable, Mehlich3",log..zn.ext_usda.a1073_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
zn.ext_usda.a1073_mg.kg,"Zinc, Extractable, Mehlich3",log..zn.ext_usda.a1073_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3760
